planet_name,disposition,radius_earth,estimated_mass_earth,period_days,temperature_k,semi_major_axis_au,insolation_flux,in_hz_conservative,in_hz_optimistic,esi,temp_score,size_mass_score,habitability_score,habitability_category
Kepler-1544 b,CONFIRMED,1.69,7.875037700282099,168.81133,241.0,0.5459,0.8,True,True,0.5575890217370145,0.0,0.0,0.4893972554342536,Moderate
,CANDIDATE,1.19,1.9033723546493149,122.58481,279.0,0.4192,1.43,False,False,0.8598956975050046,0.9839305142725083,1.0,0.4887652423555026,Moderate
,CANDIDATE,1.19,1.9033723546493149,42.049523793,303.0,0.186,2.0,False,False,0.8578112578390618,0.9559974818331,1.0,0.4827617479344324,Moderate
Kepler-283 c,CONFIRMED,1.87,9.681009392897991,92.7495777,240.0,0.3378,0.78,True,True,0.5187855345289109,0.0,0.0,0.47969638363222766,Moderate
,FALSE POSITIVE,1.23,2.1510421093269,237.26601,299.0,0.7335,1.89,False,False,0.8328049145807767,0.9760904721403703,0.9748263151121834,0.4787582351576914,Moderate
,FALSE POSITIVE,1.18,1.8448600526014403,55.7002642,309.0,0.2492,2.14,False,False,0.8623655553937534,0.9155777428619776,1.0,0.4755886596511462,Moderate
,CANDIDATE,1.26,2.351640965272471,215.732414,292.0,0.6553,1.72,False,False,0.8159598731575737,0.9968051145430329,0.9413931724545881,0.47552017823467185,Moderate
,FALSE POSITIVE,0.68,0.24003964566677144,14.3400358,248.0,0.0622,0.89,True,True,0.6818734568470887,0.0,0.4750495570834643,0.47338063821943344,Moderate
,CANDIDATE,1.15,1.6771890151703222,96.16705,313.0,0.3774,2.26,False,False,0.881348021740619,0.8824969025845955,1.0,0.47276898486504293,Moderate
,FALSE POSITIVE,1.47,4.159816168055133,316.57747,255.0,0.9079,1.01,True,True,0.6847142668691201,0.0,0.4650306386574779,0.4727465300127214,Moderate
,FALSE POSITIVE,1.26,2.351640965272471,319.30633,279.0,0.9383,1.44,False,False,0.8141097655931537,0.9839305142725083,0.9413931724545881,0.472575236667683,Moderate
Kepler-1058 b,CONFIRMED,2.11,12.385112988182156,110.9643706,239.0,0.3679,0.77,True,True,0.47504788291592376,0.0,0.0,0.4687619707289809,Moderate
,FALSE POSITIVE,1.48,4.265484291918566,397.72733,253.0,1.0781,0.97,True,True,0.6788770027082656,0.0,0.42241928468023904,0.4664657147032818,Moderate
Kepler-367 c,CONFIRMED,1.16,1.7317873386937765,53.5783052,357.0,0.2543,3.82,False,False,0.8591802618513394,0.38589112843021894,1.0,0.46126784757038963,Moderate
Kepler-22 b,CONFIRMED,2.34,15.29551531744195,289.864067,257.0,0.7961,1.03,True,True,0.44432394153782695,0.0,0.0,0.46108098538445674,Moderate
,CANDIDATE,1.31,2.7158375826024193,65.415183,295.0,0.2732,1.79,False,False,0.7837962281708475,0.9902478635182347,0.8806937362329301,0.46049206668576803,Moderate
Kepler-1362 b,CONFIRMED,2.35,15.429157175834916,136.205112,248.0,0.4626,0.89,True,True,0.4408113612222545,0.0,0.0,0.4602028403055636,Moderate
Kepler-1646 b,CONFIRMED,0.95,0.8271367927492563,4.48559215,365.0,0.0295,4.2,False,False,0.9309833972802345,0.3055016803678051,1.0,0.4591212694120099,Moderate
Kepler-1341 b,CONFIRMED,2.51,17.648108128078977,132.9955503,241.0,0.4498,0.8,True,True,0.4178912725410862,0.0,0.0,0.4544728181352715,Moderate
,FALSE POSITIVE,1.3,2.639917795300617,124.091252,305.0,0.4619,2.04,False,False,0.7865573310675853,0.9438386963005431,0.8933470341165639,0.45328084956761344,Moderate
,FALSE POSITIVE,1.35,3.035532894306893,203.250506,292.0,0.626,1.71,False,False,0.7608780014577591,0.9968051145430329,0.8274111842821845,0.4508259653140206,Moderate
Kepler-296 b,CONFIRMED,1.14,1.623857628803667,10.8644095,363.0,0.0704,4.09,False,False,0.8706830095199233,0.32465246735834974,1.0,0.44883386921956825,Moderate
,FALSE POSITIVE,1.36,3.1195644386133887,215.15218,287.0,0.6824,1.61,False,False,0.7560117245288437,0.9998000199986667,0.8134059268977685,0.4487710601332343,Moderate
,CANDIDATE,1.35,3.035532894306893,179.25465,301.0,0.5702,1.94,False,False,0.757954616776478,0.9667648382711531,0.8274111842821845,0.44423323312338836,Moderate
,FALSE POSITIVE,1.37,3.205280921059518,293.60581,295.0,0.9057,1.79,False,False,0.7482779511402854,0.9902478635182347,0.7991198464900804,0.4435995445105137,Moderate
,FALSE POSITIVE,1.39,3.3818532715660754,399.49671,286.0,1.0824,1.59,False,False,0.7384616172513185,0.9992003199146837,0.7696911214056541,0.439895322001879,Moderate
Kepler-1636 b,CONFIRMED,3.2,28.964745701893293,425.483539,248.0,1.1546,0.89,True,True,0.3480482269274415,0.0,0.0,0.43701205673186033,Moderate
,FALSE POSITIVE,1.4,3.47275169540782,251.958533,291.0,0.7799,1.69,False,False,0.7325189084900524,0.9982016190284373,0.7545413840986968,0.4366890715955416,Moderate
Kepler-1582 b,CONFIRMED,0.79,0.4180423089365575,4.83809469,354.0,0.0316,3.7,False,False,0.7918977371685074,0.41844910891303544,0.8808862195040301,0.43471964444599026,Moderate
,CANDIDATE,1.27,2.4214403080479405,150.728285,321.0,0.5487,2.51,False,False,0.799804317710403,0.804286282838474,0.9297599486586765,0.43238931394881663,Moderate
,CANDIDATE,1.05,1.1978443991707928,34.0357766,337.0,0.1634,3.06,False,False,0.9431447467431723,0.6186596475026225,1.0,0.43236087884915897,Moderate
Kepler-967 c,CONFIRMED,3.56,36.0015964941568,198.7106251,258.0,0.6253,1.05,True,True,0.32176936866948413,0.0,0.0,0.430442342167371,Moderate
,FALSE POSITIVE,1.33,2.872440699354168,426.34444,314.0,1.1269,2.29,False,False,0.7655738335842415,0.8735411859788502,0.8545932167743053,0.430374189925535,Moderate
,FALSE POSITIVE,1.2,1.9632274165996795,379.65261,330.0,0.9747,2.8,False,False,0.8416753628836989,0.7027177228683976,1.0,0.4288786171504193,Moderate
Kepler-296 d,CONFIRMED,1.52,6.3434377675410225,19.85029495,297.0,0.1052,1.83,False,False,0.6115660133467662,0.9839305142725083,0.2,0.4288741319048186,Moderate
