planet_name,disposition,radius_earth,estimated_mass_earth,period_days,temperature_k,semi_major_axis_au,insolation_flux,in_hz_conservative,in_hz_optimistic,esi,temp_score,size_mass_score,habitability_score,habitability_category
Kepler-1976 b,CONFIRMED,12.21,1551.9638947514718,4.959319244,1103.0,0.0565,349.4,False,False,0.06022580669993853,0.0,0.0,0.015056451674984633,Very Low
,FALSE POSITIVE,6.54,689.2905479974281,2.701287801,1222.0,0.0365,527.81,False,False,0.08493527822334214,0.0,0.0,0.016987055644668427,Very Low
Kepler-666 b,CONFIRMED,2.1,12.26566574445594,4.49876511,1133.0,0.0542,389.62,False,False,0.38976502951749015,0.0,0.0,0.09744125737937254,Very Low
,FALSE POSITIVE,12.42,1586.7529886344657,19.651209505,730.0,0.1433,67.03,False,False,0.0644621107519236,0.0,0.0,0.01289242215038472,Very Low
Kepler-105 b,CONFIRMED,2.94,24.366453236992026,5.412203927,1093.0,0.0591,337.68,False,False,0.3045890720388674,0.0,0.0,0.07614726800971686,Very Low
Kepler-667 b,CONFIRMED,5.5,550.3294407734123,41.43958662,516.0,0.2288,16.72,False,False,0.10980073482071151,0.0,0.0,0.027450183705177877,Very Low
Kepler-668 b,CONFIRMED,2.52,17.791840122690743,8.35389523,790.0,0.0768,91.9,False,False,0.3645950886653654,0.0,0.0,0.09114877216634135,Very Low
Kepler-669 b,CONFIRMED,4.43,415.40918461806973,4.125543472,1243.0,0.0529,565.35,False,False,0.10565134535625764,0.0,0.0,0.02641283633906441,Very Low
Kepler-670 b,CONFIRMED,12.21,1551.9638947514718,2.816504904,1219.0,0.0383,521.13,False,False,0.059031809430135064,0.0,0.0,0.014757952357533766,Very Low
,FALSE POSITIVE,7.34,800.8591249546216,33.93373447,430.0,0.1881,8.11,False,False,0.09569122181811875,0.0,0.0,0.01913824436362375,Very Low
Kepler-680 b,CONFIRMED,1.89,9.893406293821052,3.689920099,1147.0,0.0469,408.99,False,False,0.4196809336917514,0.0,0.0,0.10492023342293785,Very Low
Kepler-232 b,CONFIRMED,3.25,29.895499944674036,4.431238488,1104.0,0.0529,351.23,False,False,0.2811851079850756,0.0,0.0,0.0702962769962689,Very Low
Kepler-232 c,CONFIRMED,3.95,44.50633568549854,11.37936986,806.0,0.0993,99.68,False,False,0.25595589544125746,0.0,0.0,0.06398897386031437,Very Low
Kepler-681 b,CONFIRMED,3.07,26.614974237963025,26.39432897,489.0,0.1635,13.49,False,False,0.3400896514663416,0.0,0.0,0.0850224128665854,Very Low
Kepler-106 c,CONFIRMED,2.64,19.563014416642947,13.57078281,785.0,0.1096,89.61,False,False,0.3523562429922278,0.0,0.0,0.08808906074805695,Very Low
Kepler-105 c,CONFIRMED,1.79,8.854905838865063,7.12594387,997.0,0.0711,233.31,False,False,0.44847074351002625,0.0,0.0,0.11211768587750656,Very Low
,FALSE POSITIVE,15.03,2033.2834473790465,7.442652004,967.0,0.0742,206.78,False,False,0.054641290667541254,0.0,0.0,0.010928258133508251,Very Low
Kepler-52 c,CONFIRMED,2.0,11.10362932788552,16.38489988,433.0,0.1084,8.35,False,False,0.4785443472960068,0.0,0.0,0.1196360868240017,Very Low
Kepler-52 b,CONFIRMED,2.16,12.991204418327788,7.8774163,553.0,0.0665,22.18,False,False,0.4352734089876395,0.0,0.0,0.10881835224690987,Very Low
Kepler-52 d,CONFIRMED,1.99,10.990666757336042,36.4454001,332.0,0.1847,2.88,False,False,0.4987550121247499,0.6789552902885679,0.0,0.29442757560332944,Low
Kepler-673 b,CONFIRMED,6.02,618.9088445116581,3.728732147,1023.0,0.0455,258.34,False,False,0.0922773495363071,0.0,0.0,0.023069337384076776,Very Low
,CANDIDATE,7.51,825.055509019269,40.4195037,467.0,0.2062,11.29,False,False,0.09325184652046352,0.0,0.0,0.018650369304092706,Very Low
Kepler-674 b,CONFIRMED,1.99,10.990666757336042,2.243380573,822.0,0.028,107.6,False,False,0.4311758723896082,0.0,0.0,0.10779396809740205,Very Low
,FALSE POSITIVE,11.23,1392.0182641386639,10.405998015,833.0,0.0855,113.94,False,False,0.06677811768734496,0.0,0.0,0.013355623537468992,Very Low
Kepler-675 b,CONFIRMED,2.34,15.29551531744195,2.337437946,1070.0,0.0325,311.16,False,False,0.3638637065300054,0.0,0.0,0.09096592663250135,Very Low
,CANDIDATE,19.45,2842.802821062942,7.2406612,734.0,0.0692,68.63,False,False,0.049332738509967625,0.0,0.0,0.009866547701993526,Very Low
,CANDIDATE,0.55,0.10948180556056637,3.43591631,1272.0,0.0437,617.61,False,False,0.4226477449692109,0.0,0.09518559028404136,0.09595181982792717,Very Low
Kepler-676 b,CONFIRMED,2.65,19.714480936056862,11.59822233,396.0,0.0798,5.82,False,False,0.39320319561163086,0.0,0.0,0.09830079890290772,Very Low
Kepler-677 b,CONFIRMED,5.31,525.7437612084973,6.575315881,1015.0,0.067,251.38,False,False,0.0992835951775477,0.0,0.0,0.024820898794386925,Very Low
Kepler-678 b,CONFIRMED,4.86,468.5742302552246,7.275040844,833.0,0.0732,113.64,False,False,0.10839983047070183,0.0,0.0,0.027099957617675457,Very Low
Kepler-231 c,CONFIRMED,1.93,10.325252347255025,19.27153892,393.0,0.1171,5.66,False,False,0.4980899661319567,0.0,0.0,0.12452249153298918,Very Low
Kepler-231 b,CONFIRMED,1.91,10.108153615311451,10.06524317,488.0,0.076,13.43,False,False,0.48571840485668505,0.0,0.0,0.12142960121417126,Very Low
Kepler-679 b,CONFIRMED,2.66,19.866543058758044,12.3935651,677.0,0.0983,49.68,False,False,0.359751344892813,0.0,0.0,0.08993783622320325,Very Low
Kepler-106 e,CONFIRMED,2.87,23.197588139045653,43.84439721,531.0,0.2395,18.77,False,False,0.35360477197303214,0.0,0.0,0.08840119299325803,Very Low
,FALSE POSITIVE,21.55,3248.1247985320597,3.341913228,1032.0,0.0415,268.67,False,False,0.04352425086022067,0.0,0.0,0.008704850172044134,Very Low
,FALSE POSITIVE,32.43,5525.636142307104,1.626630225,1547.0,0.026,1355.88,False,False,0.031359983432130985,0.0,0.0,0.006271996686426197,Very Low
Kepler-234 b,CONFIRMED,3.12,27.50674085749994,2.711504086,1420.0,0.0401,960.79,False,False,0.27581550865487575,0.0,0.0,0.06895387716371894,Very Low
Kepler-234 c,CONFIRMED,3.32,31.223778319938344,7.21203748,1025.0,0.077,260.58,False,False,0.2805988579684591,0.0,0.0,0.07014971449211478,Very Low
,FALSE POSITIVE,1.88,9.786914103048845,14.1798187,711.0,0.1137,60.35,False,False,0.46120301030633487,0.0,0.0,0.09224060206126698,Very Low
Kepler-233 b,CONFIRMED,2.59,18.8146127050426,8.47237911,751.0,0.0778,75.44,False,False,0.360407235578553,0.0,0.0,0.09010180889463824,Very Low
Kepler-233 c,CONFIRMED,2.36,15.563391782040778,60.4189369,390.0,0.2884,5.49,False,False,0.43012248480722354,0.0,0.0,0.10753062120180588,Very Low
Kepler-682 b,CONFIRMED,7.4,809.3800323916014,12.611904345,753.0,0.1058,76.15,False,False,0.08679476791620362,0.0,0.0,0.021698691979050905,Very Low
,FALSE POSITIVE,46.58,8847.29645494741,1.433769925,1920.0,0.0256,3209.29,False,False,0.02406443039496771,0.0,0.0,0.004812886078993542,Very Low
,FALSE POSITIVE,28.59,4690.613534413313,10.31872301,876.0,0.0944,139.26,False,False,0.03790829487177576,0.0,0.0,0.007581658974355152,Very Low
Kepler-683 b,CONFIRMED,2.06,11.793776509910174,2.539183147,1332.0,0.0355,743.09,False,False,0.3825446599695619,0.0,0.0,0.09563616499239047,Very Low
Kepler-684 b,CONFIRMED,2.77,21.578561662961974,6.770300385,812.0,0.064,102.87,False,False,0.3375436740726546,0.0,0.0,0.08438591851816366,Very Low
,FALSE POSITIVE,27.51,4461.583423242363,0.444291966,1836.0,0.0101,2706.26,False,False,0.033380002969928026,0.0,0.0,0.006676000593985605,Very Low
,CANDIDATE,7.73,856.6128648751426,10.181584004,812.0,0.0884,102.91,False,False,0.0834689525843356,0.0,0.0,0.016693790516867122,Very Low
Kepler-235 d,CONFIRMED,1.96,10.65531148082787,20.06036336,361.0,0.115,4.0,False,False,0.498539596185669,0.344452182766909,0.0,0.2107479447381445,Low
Kepler-235 e,CONFIRMED,1.83,9.26326284245809,46.1842039,273.0,0.2005,1.32,False,True,0.5359146658593806,0.9559974818331,0.0,0.37297803692312015,Low
Kepler-106 d,CONFIRMED,1.31,2.7158375826024193,23.9800854,649.0,0.1602,41.94,False,False,0.6961220815980997,0.0,0.8806937362329301,0.30613458083446443,Low
Kepler-235 c,CONFIRMED,1.2,1.9632274165996795,7.82502168,494.0,0.0614,14.05,False,False,0.7935787781376645,0.0,1.0,0.3483946945344161,Low
Kepler-688 b,CONFIRMED,7.34,800.8591249546216,3.895936525,1005.0,0.046,241.62,False,False,0.0826044758233672,0.0,0.0,0.0206511189558418,Very Low
Kepler-689 b,CONFIRMED,2.32,15.030009439278325,22.36646466,536.0,0.1449,19.45,False,False,0.4149212729773651,0.0,0.0,0.10373031824434127,Very Low
Kepler-685 b,CONFIRMED,9.73,1155.3084311680316,1.625522174,1579.0,0.0265,1467.41,False,False,0.06394662329735938,0.0,0.0,0.015986655824339845,Very Low
,CANDIDATE,13.6,1785.4670145352552,19.620346923,643.0,0.1389,40.39,False,False,0.06247297577408749,0.0,0.0,0.012494595154817498,Very Low
,FALSE POSITIVE,17.47,2472.475671004006,7.544039,838.0,0.0731,116.46,False,False,0.05133715988045282,0.0,0.0,0.010267431976090565,Very Low
Kepler-1727 b,CONFIRMED,2.57,18.519418065605855,9.02930689,757.0,0.0796,77.75,False,False,0.3620125308801687,0.0,0.0,0.09050313272004218,Very Low
,FALSE POSITIVE,13.28,1731.0465546743253,10.328035714,843.0,0.0888,119.31,False,False,0.06035115517622147,0.0,0.0,0.012070231035244294,Very Low
Kepler-30 d,CONFIRMED,8.9,1028.8646811442004,143.2063047,308.0,0.5336,2.14,False,False,0.08962639750530588,0.9231163463866358,0.0,0.2531856859729854,Low
Kepler-106 b,CONFIRMED,0.79,0.4180423089365575,6.164876,1021.0,0.0648,256.35,False,False,0.6627014904748623,0.0,0.8808862195040301,0.2978083055443201,Low
